feis,age,girlsTotal,boysTotal
2009,3,0,0
2009,4,0,0
2009,5,0,0
2009,6,0,0
2009,7,1,0
2009,8,0,0
2009,9,5,2
2009,10,5,0
2009,11,2,0
2009,12,2,0
2009,13,3,0
2009,14,1,0
2009,15,3,0
2009,16,0,0
2009,17,2,0
2009,18,5,0
2009,19,18,2
2009,20,23,1
2009,21,13,1
2009,22,20,5
2009,23,24,1
2009,24,17,5
2009,25,17,1
2009,26,22,3
2009,27,10,2
2009,28,9,2
2009,29,9,4
2009,30,13,4
2009,31,2,1
2009,32,9,1
2009,33,3,0
2009,34,0,0
2009,35,1,0
2009,36,6,1
2009,37,2,2
2009,38,0,0
2009,39,0,0
2009,40,1,0
2009,41,0,0
2009,42,1,0
2009,43,0,1
2009,44,2,0
2009,45,1,0
2009,46,0,0
2009,47,0,0
2009,48,0,0
2009,49,0,0
2009,50,1,0
2009,51,1,0
2009,52,0,0
2009,53,0,0
2009,54,0,0
2009,55,0,0
2009,56,0,0
2009,57,0,0
2011,3,0,0
2011,4,0,0
2011,5,0,1
2011,6,3,0
2011,7,3,0
2011,8,4,1
2011,9,2,0
2011,10,14,0
2011,11,9,0
2011,12,11,1
2011,13,9,0
2011,14,5,0
2011,15,3,0
2011,16,4,0
2011,17,2,0
2011,18,15,0
2011,19,14,1
2011,20,25,1
2011,21,30,1
2011,22,21,3
2011,23,28,4
2011,24,22,3
2011,25,27,5
2011,26,17,2
2011,27,21,2
2011,28,14,5
2011,29,16,4
2011,30,9,2
2011,31,10,6
2011,32,2,1
2011,33,10,1
2011,34,5,1
2011,35,0,1
2011,36,2,0
2011,37,2,2
2011,38,2,2
2011,39,2,0
2011,40,0,1
2011,41,1,1
2011,42,0,0
2011,43,1,0
2011,44,1,0
2011,45,2,0
2011,46,0,0
2011,47,0,0
2011,48,1,0
2011,49,0,0
2011,50,0,0
2011,51,0,0
2011,52,0,0
2011,53,0,0
2011,54,0,0
2011,55,0,0
2011,56,0,0
2011,57,0,0
2012,3,0,0
2012,4,1,0
2012,5,1,0
2012,6,4,2
2012,7,11,0
2012,8,13,1
2012,9,10,0
2012,10,9,2
2012,11,21,1
2012,12,13,0
2012,13,18,1
2012,14,12,2
2012,15,10,0
2012,16,4,0
2012,17,5,0
2012,18,11,0
2012,19,18,0
2012,20,17,2
2012,21,38,3
2012,22,38,3
2012,23,37,4
2012,24,34,3
2012,25,32,2
2012,26,29,7
2012,27,15,2
2012,28,26,3
2012,29,20,2
2012,30,17,2
2012,31,10,1
2012,32,13,5
2012,33,7,2
2012,34,5,2
2012,35,8,3
2012,36,5,1
2012,37,9,1
2012,38,6,2
2012,39,3,3
2012,40,5,1
2012,41,2,0
2012,42,1,0
2012,43,3,0
2012,44,0,0
2012,45,1,0
2012,46,3,0
2012,47,0,0
2012,48,1,0
2012,49,2,0
2012,50,1,0
2012,51,0,0
2012,52,0,0
2012,53,0,0
2012,54,0,0
2012,55,0,0
2012,56,0,0
2012,57,0,0
2013,3,0,0
2013,4,1,0
2013,5,2,0
2013,6,2,0
2013,7,10,2
2013,8,15,3
2013,9,24,1
2013,10,20,1
2013,11,20,1
2013,12,13,1
2013,13,18,0
2013,14,11,1
2013,15,11,1
2013,16,11,0
2013,17,8,2
2013,18,12,1
2013,19,16,2
2013,20,23,2
2013,21,12,2
2013,22,35,2
2013,23,37,3
2013,24,34,5
2013,25,34,7
2013,26,20,2
2013,27,23,2
2013,28,16,5
2013,29,18,1
2013,30,17,2
2013,31,14,4
2013,32,8,1
2013,33,9,4
2013,34,7,4
2013,35,8,2
2013,36,6,2
2013,37,5,0
2013,38,9,0
2013,39,1,2
2013,40,0,1
2013,41,4,0
2013,42,1,0
2013,43,0,0
2013,44,3,0
2013,45,1,0
2013,46,0,0
2013,47,2,0
2013,48,0,0
2013,49,1,0
2013,50,2,0
2013,51,0,0
2013,52,0,0
2013,53,0,0
2013,54,0,0
2013,55,1,0
2013,56,0,0
2013,57,0,0
2014,3,0,0
2014,4,1,0
2014,5,3,0
2014,6,14,1
2014,7,25,2
2014,8,20,2
2014,9,29,2
2014,10,37,3
2014,11,28,2
2014,12,28,2
2014,13,18,1
2014,14,23,2
2014,15,17,1
2014,16,13,1
2014,17,15,1
2014,18,14,1
2014,19,19,1
2014,20,20,2
2014,21,23,2
2014,22,19,1
2014,23,36,3
2014,24,36,3
2014,25,44,4
2014,26,36,3
2014,27,27,2
2014,28,26,2
2014,29,19,1
2014,30,21,2
2014,31,16,1
2014,32,14,1
2014,33,14,1
2014,34,15,1
2014,35,10,1
2014,36,8,0
2014,37,13,1
